sample_id	sample_name	raw_path	region
"AA83_ASAP69_PD_NP18-287_PUT"	"AA83_ASAP69_PD_NP18-287_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_11"	"PUT"
"AA84_ASAP71_PD_NP19-16_PUT"	"AA84_ASAP71_PD_NP19-16_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_12"	"PUT"
"AA85_ASAP72_PD_NP19-23_PUT"	"AA85_ASAP72_PD_NP19-23_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_13"	"PUT"
"AA86_ASAP73_PD_NP19-108_PUT"	"AA86_ASAP73_PD_NP19-108_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_14"	"PUT"
"AA87_ASAP76_ctrl_NP18-159_PUT"	"AA87_ASAP76_ctrl_NP18-159_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_15"	"PUT"
"AA88_ASAP77_ctrl_NP19-36_PUT"	"AA88_ASAP77_ctrl_NP19-36_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_16"	"PUT"
"AA89_ASAP78_ctrl_NP19-37_PUT"	"AA89_ASAP78_ctrl_NP19-37_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_17"	"PUT"
"AA_ASAP138_PD_NP16-285_PUT"	"ASAP138_PD_NP16-285_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP139_PD_NP17-232_PUT"	"ASAP139_PD_NP17-232_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP140_PD_NP19-91_PUT"	"ASAP140_PD_NP19-91_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP141_ctrl_NP19-218_PUT"	"ASAP141_ctrl_NP19-218_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP142_ctrl_NP22-37_PUT"	"ASAP142_ctrl_NP22-37_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP143_ctrl_NP22-75_PUT"	"ASAP143_ctrl_NP22-75_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP144_PD_NP19-137_PUT"	"ASAP144_PD_NP19-137_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP146_PD_NP21-04_PUT"	"ASAP146_PD_NP21-04_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP149_PD_NP23-21_PUT"	"ASAP149_PD_NP23-21_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_2024_063_ASAP_Snuclei/"	"PUT"
"AA_ASAP106_ctrl_NP17-20_AMY"	"AA_ASAP106_ctrl_NP17-20_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP106_ctrl_NP17_20_AMY_S23"	"AMY"
"AA_ASAP109_PD_NP21-217_AMY"	"AA_ASAP109_PD_NP21-217_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP109_PD_NP21_217_AMY_S27"	"AMY"
"AA_ASAP110_ctrl_NP16-119_AMY"	"AA_ASAP110_ctrl_NP16-119_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP110_ctrl_NP16_119_AMY_S6"	"AMY"
"AA_ASAP111_ctrl_NP16-284_AMY"	"AA_ASAP111_ctrl_NP16-284_AMY"	"/path/to/backup/ysharma_fs1_jjlab/raw_data/CTG_2024_007_SNSeq_ASAP/data/AA_ASAP111_ctrl_NP16_284_AMY_S12"	"AMY"
"AA_ASAP112_ctrl_NP16-293_AMY"	"AA_ASAP112_ctrl_NP16-293_AMY"	"/path/to/backup/ysharma_fs1_jjlab/raw_data/CTG_2024_007_SNSeq_ASAP/data/AA_ASAP112_ctrl_NP16_293_AMY_S18"	"AMY"
"AA_ASAP113_ctrl_NP18-148_AMY"	"AA_ASAP113_ctrl_NP18-148_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP113_ctrl_NP18_148_AMY_S19"	"AMY"
"AA_ASAP114_PD_NP21-57_AMY"	"AA_ASAP114_PD_NP21-57_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP114_PD_NP21_57_AMY_S24"	"AMY"
"AA_ASAP115_PD_NP21-208_AMY"	"AA_ASAP115_PD_NP21-208_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP115_PD_NP21_208_AMY_S29"	"AMY"
"AA_ASAP119_PD_NP22-55_AMY"	"AA_ASAP119_PD_NP22-55_AMY"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP119_PD_NP22_55_AMY_S42"	"AMY"
