L1PA3_dup7914
L1PA3_dup8036
L1PA3_dup8037
L1PA3_dup8057
L1PA3_dup8181
L1PA3_dup8209
L1PA3_dup10936
L1PA2_dup5040
L1PA3_dup8427
L1HS_dup1655
L1PA3_dup10943
L1HS_dup1656
L1HS_dup1657
L1HS_dup1658
L1PA3_dup10953
L1PA2_dup5047
L1PA3_dup9466
L1PA3_dup11075
L1HS_dup1681
L1PA3_dup10963
L1PA3_dup9538
L1PA3_dup9539
L1PA3_dup10980
L1PA3_dup10982
L1PA3_dup10987
L1PA3_dup10988
L1PA3_dup10990
L1PA3_dup10994
L1HS_dup1661
L1PA2_dup5103
L1HS_dup1663
L1HS_dup1662
L1PA2_dup5104
L1HS_dup1664
L1PA2_dup5064
L1HS_dup1666
L1HS_dup1667
L1PA2_dup5065
L1PA3_dup11014
L1PA3_dup11015
L1PA2_dup5083
L1HS_dup1675
L1HS_dup1676
L1HS_dup1636
L1HS_dup1637
L1PA3_dup10802
L1PA2_dup5085
L1PA3_dup2946
L1PA3_dup2525
L1PA2_dup1183
L1PA3_dup11068
L1PA2_dup5088
L1PA2_dup5089
L1PA3_dup11069
L1PA2_dup4974
L1PA2_dup4975
L1PA2_dup4979
L1PA2_dup4980
L1PA3_dup4034
L1PA3_dup10853
L1PA3_dup10858
L1PA3_dup10861
L1HS_dup1645
L1HS_dup1646
L1PA3_dup10876
L1HS_dup1647
L1PA3_dup10885
L1PA3_dup10890
L1PA3_dup10897
L1PA3_dup10909
L1PA3_dup5126
L1PA3_dup5127
L1PA2_dup2397
L1PA2_dup5030
L1PA3_dup10919
L1PA2_dup5031
L1PA2_dup5032
L1PA3_dup10920
L1PA3_dup10926
L1PA3_dup6122
L1PA3_dup5821
L1HS_dup1651
L1PA2_dup5036
L1PA3_dup10928
L1PA3_dup10757
L1PA2_dup4941
L1PA3_dup10760
L1PA3_dup10764
L1PA3_dup10768
L1PA3_dup10774
L1PA3_dup10775
L1PA3_dup10778
L1PA2_dup4947
L1PA3_dup10789
L1PA2_dup4948
L1PA3_dup10790
L1PA3_dup10795
L1PA2_dup2872
L1PA3_dup6594
L1PA3_dup7254
L1PA2_dup3293
L1PA3_dup7295
L1PA3_dup7305
L1PA3_dup7313
L1PA2_dup3369
L1PA2_dup3370
L1PA2_dup3371
L1PA2_dup3383
L1PA2_dup3384
L1PA2_dup3385
