HERV_dup773
HERV_dup1758
HERV_dup288
HERV_dup1
HERV_dup3252
HERV_dup152
HERV_dup2491
HERV_dup1708
HERV_dup3390
HERV_dup2856
HERV_dup1281
HERV_dup1209
HERV_dup265
HERV_dup600
HERV_dup2966
HERV_dup302
HERV_dup2841
HERV_dup1079
HERV_dup2838
HERV_dup799
HERV_dup3357
HERV_dup926
HERV_dup1702
HERV_dup1050
HERV_dup614
HERV_dup2880
HERV_dup1000
HERV_dup631
HERV_dup470
HERV_dup3226
HERV_dup384
HERV_dup2273
HERV_dup54
HERV_dup1283
HERV_dup940
HERV_dup2900
HERV_dup1456
HERV_dup1669
HERV_dup2381
HERV_dup293
HERV_dup1339
HERV_dup1888
HERV_dup2789
HERV_dup1357
HERV_dup3266
HERV_dup379
HERV_dup1359
HERV_dup3171
HERV_dup209
HERV_dup2365
HERV_dup1102
HERV_dup112
HERV_dup1598
HERV_dup980
HERV_dup1356
HERV_dup93
HERV_dup717
HERV_dup417
HERV_dup1657
HERV_dup3363
HERV_dup3174
HERV_dup2376
HERV_dup3105
HERV_dup1002
HERV_dup3379
HERV_dup831
HERV_dup3423
HERV_dup1004
HERV_dup562
HERV_dup1309
HERV_dup2840
HERV_dup474
HERV_dup1308
HERV_dup873
HERV_dup2182
HERV_dup1203
HERV_dup1310
HERV_dup1701
HERV_dup3343
HERV_dup1667
HERV_dup916
HERV_dup518
HERV_dup904
HERV_dup3375
HERV_dup612
HERV_dup1382
HERV_dup1362
HERV_dup1319
HERV_dup2012
HERV_dup2299
HERV_dup1934
HERV_dup1670
HERV_dup670
HERV_dup37
HERV_dup1048
HERV_dup2106
HERV_dup1255
HERV_dup731
HERV_dup1345
HERV_dup2879
HERV_dup1449
HERV_dup1315
HERV_dup1334
HERV_dup443
HERV_dup1755
HERV_dup1052
HERV_dup151
HERV_dup3107
HERV_dup1272
HERV_dup1447
HERV_dup2217
HERV_dup2292
HERV_dup1694
HERV_dup3522
HERV_dup3355
HERV_dup966
HERV_dup1282
HERV_dup1307
HERV_dup2176
HERV_dup110
HERV_dup1512
HERV_dup1371
HERV_dup2843
HERV_dup565
HERV_dup1750
HERV_dup899
HERV_dup1611
HERV_dup301
HERV_dup348
HERV_dup1017
HERV_dup1208
HERV_dup2914
HERV_dup682
HERV_dup913
HERV_dup1846
HERV_dup2631
HERV_dup292
HERV_dup57
HERV_dup872
HERV_dup1663
HERV_dup482
HERV_dup369
HERV_dup758
HERV_dup1001
HERV_dup2530
HERV_dup2163
HERV_dup2603
HERV_dup1046
HERV_dup3430
HERV_dup880
HERV_dup597
HERV_dup2902
HERV_dup3140
HERV_dup1875
HERV_dup969
HERV_dup2261
HERV_dup2550
HERV_dup1596
HERV_dup2438
HERV_dup3417
HERV_dup1107
HERV_dup939
HERV_dup2599
HERV_dup1613
HERV_dup3505
HERV_dup1351
HERV_dup1776
HERV_dup3050
HERV_dup26
HERV_dup380
HERV_dup203
HERV_dup1232
HERV_dup1273
HERV_dup1253
HERV_dup2412
HERV_dup2589
HERV_dup3418
HERV_dup2847
HERV_dup2111
HERV_dup979
HERV_dup1662
HERV_dup2963
HERV_dup3529
HERV_dup2235
HERV_dup2961
HERV_dup2566
HERV_dup1303
HERV_dup2643
HERV_dup2662
HERV_dup5
HERV_dup2752
HERV_dup954
HERV_dup487
HERV_dup18
HERV_dup65
HERV_dup1243
HERV_dup34
HERV_dup2391
HERV_dup1112
HERV_dup1081
HERV_dup433
HERV_dup1940
HERV_dup2476
HERV_dup1569
HERV_dup468
HERV_dup1242
HERV_dup3580
HERV_dup956
HERV_dup1703
HERV_dup356
HERV_dup1269
HERV_dup1358
HERV_dup2719
HERV_dup3196
HERV_dup573
HERV_dup2166
HERV_dup3694
HERV_dup118
HERV_dup290
HERV_dup1416
HERV_dup3227
HERV_dup1935
HERV_dup1036
HERV_dup1780
HERV_dup355
HERV_dup949
HERV_dup2266
HERV_dup1302
HERV_dup1661
HERV_dup2857
HERV_dup94
HERV_dup1717
HERV_dup36
HERV_dup2812
HERV_dup3198
HERV_dup2784
HERV_dup3033
HERV_dup1331
HERV_dup1007
HERV_dup1605
HERV_dup1917
HERV_dup2607
HERV_dup2878
HERV_dup218
HERV_dup613
HERV_dup1500
HERV_dup1213
HERV_dup2183
HERV_dup1749
HERV_dup1847
HERV_dup2778
HERV_dup1756
HERV_dup471
HERV_dup1932
HERV_dup2834
HERV_dup1707
HERV_dup2250
HERV_dup3251
HERV_dup3187
HERV_dup2561
HERV_dup27
HERV_dup329
HERV_dup1555
HERV_dup2366
HERV_dup2112
HERV_dup1484
HERV_dup1982
HERV_dup2939
HERV_dup202
HERV_dup2623
HERV_dup3342
HERV_dup927
HERV_dup2422
HERV_dup29
HERV_dup1617
HERV_dup2823
HERV_dup2085
HERV_dup3358
