L1PA2_dup1230
L1PA2_dup848
L1PA2_dup791
L1HS_dup1462
L1PA3_dup398
L1PA2_dup4403
L1PA2_dup585
L1PA2_dup234
L1HS_dup337
L1PA3_dup1010
L1PA3_dup10686
L1PA2_dup922
L1PA3_dup2744
L1PA2_dup513
L1HS_dup124
L1PA2_dup378
L1PA3_dup4994
L1PA3_dup6385
L1HS_dup1324
L1PA3_dup2204
L1HS_dup455
L1PA2_dup663
L1PA3_dup8903
L1PA3_dup10285
L1PA2_dup2245
L1PA2_dup4651
L1PA3_dup8173
L1PA3_dup2557
L1PA2_dup1462
L1PA3_dup1651
L1PA2_dup1298
L1PA2_dup526
L1PA3_dup4492
L1PA2_dup949
L1PA3_dup2413
L1PA3_dup3102
L1PA3_dup1
L1PA3_dup2919
L1PA2_dup3736
L1PA3_dup8522
L1PA3_dup10297
L1PA3_dup2593
L1PA3_dup761
L1PA2_dup1621
L1PA3_dup8663
L1PA3_dup9946
L1PA2_dup927
L1PA2_dup4074
L1HS_dup916
L1PA3_dup7864
L1PA3_dup1756
L1PA3_dup4118
L1PA2_dup3607
L1PA3_dup358
L1PA3_dup8872
L1PA2_dup559
L1HS_dup1342
L1PA3_dup4709
L1PA3_dup9021
L1PA2_dup37
L1PA2_dup109
L1PA3_dup2517
L1PA3_dup9095
L1PA3_dup872
L1PA2_dup2680
L1PA2_dup39
L1PA2_dup3484
L1PA3_dup2760
L1PA3_dup10119
L1PA3_dup400
L1PA3_dup1264
L1PA2_dup2720
L1PA2_dup2504
L1PA3_dup1710
L1HS_dup1286
L1PA2_dup2909
L1HS_dup649
L1PA3_dup3757
L1PA2_dup1953
L1HS_dup138
L1PA2_dup3664
L1PA3_dup6036
L1PA2_dup737
L1PA2_dup4620
L1PA3_dup373
L1PA3_dup4891
L1PA2_dup727
L1PA3_dup8420
L1PA3_dup9430
L1HS_dup879
L1PA3_dup3758
L1PA2_dup2180
L1PA3_dup5337
L1PA2_dup2289
L1PA2_dup675
L1PA3_dup3168
L1PA3_dup10740
L1PA3_dup7821
L1PA3_dup4888
L1PA2_dup2091
L1PA3_dup6002
L1PA2_dup3136
L1PA2_dup200
L1PA2_dup4936
L1PA2_dup3579
L1HS_dup444
L1PA3_dup561
L1PA3_dup8506
L1PA3_dup1770
L1PA2_dup3425
L1PA3_dup4277
L1PA3_dup5928
L1PA3_dup978
L1PA2_dup2969
L1PA3_dup9702
L1PA2_dup3405
L1PA3_dup1547
L1PA2_dup1490
L1PA3_dup4603
L1PA3_dup3863
L1PA2_dup3771
L1PA3_dup4885
L1PA3_dup6147
L1PA3_dup4487
L1PA3_dup2721
L1PA2_dup410
L1PA3_dup2551
L1PA3_dup5514
L1PA2_dup2408
L1PA2_dup2860
L1PA2_dup1177
L1HS_dup240
L1PA3_dup529
L1PA2_dup130
L1PA2_dup3589
L1PA3_dup7470
L1PA2_dup4838
L1PA2_dup221
L1HS_dup1357
L1PA3_dup9280
L1PA3_dup10525
L1PA3_dup3586
L1PA2_dup3805
L1PA3_dup2662
L1PA3_dup8891
L1PA3_dup3300
L1PA3_dup527
L1PA3_dup1428
L1PA3_dup7550
L1PA3_dup9473
L1PA2_dup1272
L1PA3_dup2272
L1PA3_dup6884
L1PA3_dup9256
L1PA3_dup748
L1PA3_dup5121
L1HS_dup449
L1PA2_dup1379
L1HS_dup1014
L1PA2_dup4548
L1HS_dup788
L1PA2_dup2004
L1PA3_dup6457
L1PA2_dup3531
L1PA2_dup4421
L1HS_dup1536
L1PA2_dup423
L1HS_dup596
L1PA3_dup8525
L1PA2_dup1752
L1PA2_dup2791
L1PA3_dup7951
L1PA3_dup4884
L1PA2_dup759
L1PA2_dup595
L1HS_dup111
L1PA2_dup1749
L1PA3_dup7605
L1PA2_dup684
L1HS_dup632
L1PA3_dup1311
L1PA3_dup5680
L1PA2_dup3283
L1PA3_dup3941
L1PA2_dup2047
L1HS_dup800
L1PA2_dup4053
L1PA3_dup3306
L1PA3_dup8571
L1PA2_dup3773
L1PA2_dup2496
L1PA3_dup8007
L1PA3_dup4668
L1PA3_dup8520
L1PA3_dup6317
L1HS_dup191
L1PA3_dup9840
L1HS_dup35
L1PA3_dup247
L1PA3_dup10011
L1HS_dup155
L1PA2_dup1778
L1PA3_dup5594
L1PA3_dup6008
L1PA3_dup2683
L1PA2_dup142
L1PA3_dup1937
L1HS_dup995
L1PA2_dup2385
L1PA3_dup1800
L1PA3_dup6692
L1HS_dup1330
L1PA2_dup2863
L1PA3_dup1554
L1PA2_dup2164
L1PA3_dup3763
L1PA2_dup4454
L1PA3_dup3507
L1PA2_dup16
L1PA3_dup1723
L1HS_dup429
L1PA3_dup8310
L1HS_dup1005
L1HS_dup1393
L1PA2_dup382
L1PA2_dup1760
L1PA2_dup3292
L1PA3_dup6573
L1PA3_dup2643
L1PA2_dup2729
L1PA3_dup9373
L1PA2_dup4441
L1PA2_dup2988
L1PA3_dup6434
L1PA2_dup1746
