scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
23.921467,1.8226615,1.8314495056393903e-126,5.905142641033086e-122,HS3ST4,0.12730923
22.34843,1.6566414,1.2506321383451575e-110,2.0162066018331457e-106,CSGALNACT1,0.07976634
20.489832,1.1294525,2.6530911818617594e-93,2.8514539658922905e-89,ARHGAP22,0.06673681
19.0764,1.6729541,3.9664432240926357e-81,3.197250721860471e-77,CCND3,0.0990837
18.572382,,5.3763386423914604e-77,3.466985736932557e-73,FOXP1,0.077913426
16.641575,0.6275242,3.4833299557798524e-62,1.8718834627368296e-58,SORL1,0.04062802
15.908092,-6.448108,5.568547104602582e-57,2.244333303671263e-53,HP1BP3,0.0761534
15.743731,,7.583803504934799e-56,2.7169397378845857e-52,KHDRBS3,0.07147415
15.598254,1.3943584,7.481178818335042e-55,2.412156486395767e-51,DSCAM,0.060311835
15.370646,1.4804676,2.5758479858150826e-53,7.550278782421428e-50,FAM149A,0.105338834
15.267779,1.4852498,1.2537059767819461e-52,3.368603484115024e-49,NHSL1,0.07243359
15.216969,1.0359837,2.7288497259294354e-52,6.768177054857138e-49,OXR1,0.05287331
15.034613,0.959561,4.355898418009031e-51,1.0031945192276083e-47,ANKRD44,0.050069667
15.0282545,-3.0107608,4.794727672037764e-51,1.0306426955300908e-47,SSBP2,0.07243506
14.75259,1.4143187,2.9607944328912852e-49,5.966555931232107e-46,AL163541.1,0.10061711
14.681616,3.505065,8.455184348514774e-49,1.6036500526421286e-45,CACNA1A,0.06251755
14.558336,0.44799796,5.170054265170963e-48,9.261003315105964e-45,ELMO1,0.019614821
14.262313,1.4969925,3.757902152461032e-46,6.377159952726372e-43,RASGEF1C,0.09212368
14.178395,1.4948536,1.2466486038029514e-45,2.009784546620928e-42,CPED1,0.10511212
14.14221,0.95609415,2.086289581222207e-45,3.20324928415941e-42,TBC1D22A,0.049108032
14.086594,0.91312677,4.591819949188398e-45,6.729729573712797e-42,RNASET2,0.06550357
13.87137,,9.445480046474858e-44,1.3241331006021254e-40,MIR29B2CHG,0.066571444
13.813696,1.3312087,2.1073674548072752e-43,2.8311603685562906e-40,OSBPL3,0.07730455
13.415239,,4.923405922829604e-41,5.473978523096377e-38,KIF26B,0.07522125
13.272088,0.7841046,3.360819397620891e-40,3.6120966612496797e-37,ARHGAP15,0.05753816
13.220544,1.0241547,6.67790262350183e-40,6.7286129465490464e-37,BNC2,0.07410176
13.204595,-1.2588732,8.254297072821162e-40,8.06494850057493e-37,CCNH,0.06491788
13.173955,1.2987088,1.239314724354103e-39,1.1752713134514513e-36,MBNL1,0.04602572
13.054527,,5.98805739421915e-39,5.516369558908802e-36,TANC2,0.05497123
13.031291,,8.12215123514839e-39,7.27451450763582e-36,ANAPC16,0.061494473
13.01127,1.3646088,1.0557335268176196e-38,9.20000435275149e-36,GALNT2,0.059064176
12.903667,1.9374951,4.2917395353775326e-38,3.641540995767837e-35,FAM13A,0.06253732
12.899433,1.4184151,4.534179880666636e-38,3.748604151085496e-35,LINC02232,0.099799015
12.836622,,1.022391600925992e-37,8.040237167965064e-35,FOXO3,0.060675483
12.765797,-0.6001558,2.545335998191025e-37,1.954030204516029e-34,GAB1,0.06016701
12.695062,2.0536747,6.298005001644648e-37,4.722478494605311e-34,NLRP1,0.13457829
12.660772,,9.753446705568656e-37,7.147281411992049e-34,DTNA,0.05271414
12.555366,1.4191643,3.714599873589553e-36,2.6615520827588438e-33,IL6ST,0.06402565
12.434542,,1.6971090690213775e-35,1.1895627763577451e-32,AC007262.2,0.071365796
12.408273,,2.3568156287453218e-35,1.6168256663326683e-32,STRBP,0.062168043
12.369515,1.340648,3.821179622617299e-35,2.5667978035843664e-32,RASAL2,0.053841386
12.19542,1.9401896,3.288039230820754e-34,2.1203249783870714e-31,P4HA1,0.0633857
12.177489,2.0338712,4.096986070440736e-34,2.590178860180797e-31,ATG16L2,0.093893506
12.153214,,5.515362362491064e-34,3.4198428587269113e-31,TBC1D5,0.05604808
12.150903,1.1163023,5.673576817107443e-34,3.451568628565949e-31,PDE3B,0.061665036
12.147766,0.2479383,5.895463534571791e-34,3.52013760639256e-31,FRMD4A,0.0154686505
12.098384,2.5448003,1.0771034167255742e-33,6.201615261693337e-31,LYST,0.058584526
12.093326,-1.2100085,1.1455450438590092e-33,6.479966464762462e-31,PTPRG,0.059266556
12.071382,5.5034666,1.4960157156286887e-33,8.31655771017514e-31,LINC02245,0.07116641
12.0593605,4.0501857,1.7312137275623868e-33,9.460936308100685e-31,RESF1,0.06677523
11.904365,0.41567934,1.1231579703539758e-32,6.035663739687207e-30,DOCK8,0.030302579
11.863243,0.4226156,1.8371805732242379e-32,9.710854626634279e-30,CELF2,0.023709014
11.858087,,1.9538833547744704e-32,1.0161138872256976e-29,ZNF292,0.05747255
11.8243885,1.4422238,2.920206725829274e-32,1.494543261284338e-29,CPVL,0.10217885
