scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
24.227812,0.38319114,1.1332108885132365e-129,1.826905933916614e-125,NAV3,0.017607702
23.567886,0.15476324,8.230623753656393e-123,8.84600005630477e-119,ADGRV1,0.011290565
22.568813,1.0605494,8.777141165464884e-113,7.075034064952106e-109,PFKP,0.059358984
22.126047,0.25834653,1.7747161483327718e-108,1.1444434554138712e-104,MIR99AHG,0.012411758
21.18945,0.26706865,1.1948665302420386e-99,6.421013589099009e-96,CNTN1,0.014332462
20.264732,0.16822614,2.633907892270651e-91,9.436121352275845e-88,CTNND2,0.008126638
19.333261,0.2816953,2.8201910250745747e-83,9.09314192214795e-80,CDH20,0.013211908
19.18165,0.19523524,5.268172728648957e-82,1.3066284099217565e-78,AHCYL2,0.012324285
18.996458,0.4060719,1.8244955412032716e-80,4.20194355250122e-77,RANBP3L,0.02918594
18.263311,0.8395603,1.6214954220039505e-74,3.2676173057295857e-71,DPP10,0.036773436
18.1464,1.0325891,1.3709654519290978e-73,2.600237592149994e-70,MIR4300HG,0.0549065
17.898008,0.30431753,1.2221451004999575e-71,2.094352497179892e-68,PRKG1,0.020225978
17.124666,6.340931,9.71663761157617e-66,1.4918740310002403e-62,DLGAP1,0.03377417
17.11079,0.441137,1.2331640309396032e-65,1.7287351238950271e-62,TTC28,0.017000364
16.97307,0.115715295,1.2995531773880324e-64,1.676059723940893e-61,CTNNA2,0.007281569
16.640766,0.20694612,3.5307481762187625e-62,4.065782623065055e-59,TRPS1,0.011000274
16.606691,0.16761544,6.233717689375194e-62,6.930819291673255e-59,MAPK10,0.008613612
16.469341,0.19111079,6.093061747809937e-61,6.54861966448786e-58,MAML2,0.009385626
16.339258,0.2706518,5.188002944333281e-60,5.396025126907677e-57,FUT9,0.013204069
16.285591,0.32989457,1.2491574413710692e-59,1.2586432306914807e-56,MGAT4C,0.020049594
16.199135,0.15081656,5.114210326321512e-59,4.996893440957106e-56,TNIK,0.008666608
15.381619,,2.174395941290129e-53,1.9474735648616006e-50,NCAM2,0.015392422
15.252897,0.1620496,1.574865743121741e-52,1.3362735830387972e-49,NKAIN3,0.011138174
15.188147,0.10009507,4.2372999776615275e-52,3.503160594352324e-49,ADCY2,0.0066248444
15.123821,0.22973576,1.1280165200834506e-51,9.092659164262675e-49,RPS6KA2,0.011583186
14.97194,-0.6431783,1.1200600957712163e-50,8.398627364639843e-48,ST6GALNAC3,0.035965286
14.907198,0.18844788,2.9591240649599104e-50,2.1684326642386908e-47,ZBTB20,0.006791407
14.543232,0.10289714,6.447535365144824e-48,4.423146442092863e-45,GPM6A,0.006791407
14.194402,0.3554804,9.922916917534781e-46,6.152780964847576e-43,PDE4DIP,0.016462825
14.137466,0.06676943,2.2317533950443067e-45,1.3577061267247846e-42,NRXN1,0.0039479584
13.926801,0.28945923,4.354296474926783e-44,2.552646931655714e-41,PDE7B,0.016597994
13.913271,,5.261692692395802e-44,3.0295135264449616e-41,ARAP2,0.012969388
13.891227,0.0935978,7.159865842865249e-44,4.0500974451141093e-41,NEBL,0.005988373
13.828794,1.0088205,1.7086146758443051e-43,9.181810498874655e-41,SSBP2,0.018828232
13.723741,0.53005636,7.31895997676606e-43,3.745797246521716e-40,ASTN2,0.01476849
13.319602,0.17878477,1.7805440480834908e-40,8.698497233690301e-38,ERBB4,0.007400832
13.131873,0.3662231,2.1624073695063335e-39,1.010471026304242e-36,BAZ2B,0.011094655
13.100093,4.6915746,3.288543071476678e-39,1.5147499179088932e-36,VCAN,0.041165154
13.075451,0.15974532,4.548612592960671e-39,2.0656467018990273e-36,NHSL1,0.010962042
12.903548,0.21358354,4.298423189379965e-38,1.872892687772679e-35,SLC39A11,0.008369632
12.741684,0.15455805,3.4682868716878323e-37,1.452311345504296e-34,HPSE2,0.010560544
12.720171,0.2268535,4.568579662120422e-37,1.8646166334904908e-34,ARHGEF4,0.014187033
12.703466,0.48613587,5.656760319333706e-37,2.2798865372034583e-34,EPHA6,0.024266014
12.699275,0.11051923,5.967991172802299e-37,2.3466577973739577e-34,SOX5,0.0073152785
12.660359,0.235323,9.80495806271355e-37,3.8089308773020843e-34,LPP,0.010476031
12.569984,0.076245576,3.087864079555696e-36,1.1576976920594687e-33,AL137139.2,0.0056007365
12.37452,0.10302488,3.590310909954055e-35,1.2862488296627623e-32,FMN2,0.006620393
12.217729,0.2963162,2.4997294733249692e-34,8.760736674827933e-32,RFX3,0.010865091
11.892622,3.754582,1.2928336508319696e-32,4.387877410923705e-30,FMNL2,0.012508605
11.865792,0.20806494,1.7820654700438137e-32,5.9853267656898635e-30,ARHGAP5,0.009469861
11.740407,0.17724732,7.910452243792097e-32,2.602619507108047e-29,DOCK7,0.010749016
11.698305,-0.9178166,1.3002428980085557e-31,4.234720379847461e-29,LINC00609,0.03086529
11.688826,1.1389464,1.4538343874930242e-31,4.687598215593758e-29,NBPF19,0.06300199
11.647979,0.13486183,2.3496650795744986e-31,7.427475603992211e-29,ZHX3,0.0067751454
11.628372,1.0422844,2.956806368349625e-31,9.255952207252132e-29,TCF4,0.010312113
11.472821,0.0926965,1.8067101777681863e-30,5.4956373831867575e-28,GABRB1,0.005674229
11.467787,2.4747572,1.91495201489094e-30,5.770448394030708e-28,LINC01515,0.06571179
11.354341,1.1239853,7.057026073734926e-30,2.068542651776684e-27,SNHG14,0.0130609125
11.274507,-4.3492465,1.753597349382902e-29,5.048324940727939e-27,PHLPP1,0.0098407455
11.128062,,9.160555266737564e-29,2.6138387917293746e-26,GSN,0.024089111
11.1107235,0.16677283,1.1125479441253408e-28,3.119294205428988e-26,SOX6,0.010345582
11.1017475,0.17821997,1.2301485930203553e-28,3.419282852134079e-26,AL589740.1,0.010254567
11.099738,0.27058047,1.2581259024342438e-28,3.4671584164262666e-26,ADGRB3,0.009574423
11.004583,,3.631921132223363e-28,9.840675047586379e-26,FSTL5,0.03544987
10.9809,0.120444834,4.721964981222037e-28,1.2687526407461844e-25,TNRC6A,0.004995349
10.953336,1.0776306,6.404498727037148e-28,1.7066136566599898e-25,POU6F2,0.03605922
10.866569,0.14599621,1.663403228053925e-27,4.325250829205057e-25,NPAS3,0.007226468
10.699198,0.44577342,1.0266275383111265e-26,2.5860587279504415e-24,SMYD3,0.013528164
10.585292,-2.048303,3.4869193842189266e-26,8.390204604878421e-24,DGKB,0.028970363
10.55476,0.729898,4.828712984759337e-26,1.1447955350558479e-23,KIAA1109,0.0119044045
10.441726,0.08279576,1.5987733876594466e-25,3.682089309878824e-23,AC092691.1,0.0050119734
10.429249,0.23973443,1.8232412421254115e-25,4.16927428154962e-23,C1orf21,0.012840356
10.318809,0.41535786,5.793741951000007e-25,1.2795042583978987e-22,ARHGAP42,0.023680422
10.246738,,1.224040063241103e-24,2.6848111400736657e-22,PLEKHA5,0.022563891
10.222002,0.98239243,1.5804323252673045e-24,3.4430999637563315e-22,MPP6,0.029636035
10.188928,1.1430315,2.222012978084311e-24,4.7446598975081095e-22,LMNTD1,0.058880094
10.042037,0.52802044,9.959576850378666e-24,2.098866904488623e-21,PPP1R9A,0.011432532
9.942714,,2.713318605085425e-23,5.644227857017379e-21,DAAM2,0.017969875
