scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
12.630547,0.35209346,1.4327919770996274e-36,1.1549377929405822e-32,GABRG3,0.025535503
11.1047945,0.33217058,1.1889009840432507e-28,4.791716803563316e-25,ANKRD36,0.013686435
9.855222,0.5732814,6.50729204051791e-23,1.7484551438534917e-19,SSBP2,0.014336037
9.688563,0.5905705,3.3723965898652877e-22,8.364321788232806e-19,ST6GALNAC5,0.031594362
9.38783,0.3378416,6.12493750737123e-21,1.3165757336678037e-17,CHSY3,0.020539002
9.291277,0.24198228,1.5244801759709078e-20,3.0721133946143734e-17,CACNB4,0.014728825
9.265024,-0.7240333,1.9503350464809013e-20,3.699097229628453e-17,SGK1,0.018697007
8.926284,0.14979991,4.405598382092049e-19,7.476300454410207e-16,AUTS2,0.005108118
8.793979,-1.9781425,1.443552691963654e-18,2.1156577021356407e-15,NKAIN2,0.020587495
8.78177,0.37118468,1.6092210592991018e-18,2.2559180267383017e-15,HS6ST3,0.021120617
8.695521,0.35795477,3.4524091439787864e-18,4.45264112117232e-15,R3HDM2,0.01205842
8.461201,0.32620192,2.6463800341821528e-17,3.047401122933398e-14,FAM189A1,0.021792632
8.043509,2.0446765,8.730239063699188e-16,8.796534316589154e-13,RPN1,0.030494215
7.994166,0.6968658,1.3045405585952091e-15,1.2746151888116765e-12,BACH2,0.015974583
7.883733,0.3227752,3.1774300986846723e-15,3.0132317256438202e-12,SIPA1L1,0.011472288
7.878921,0.24672993,3.302203883487397e-15,3.0420845661509754e-12,GPR158,0.015137503
7.8683896,0.2709086,3.592355970353965e-15,3.2174537097811913e-12,TTC28,0.011069055
7.6630416,0.43859026,1.815803520715366e-14,1.5407092873269882e-11,DGCR9,0.024360547
7.5872927,-0.36728588,3.2665826347284693e-14,2.6331105972887507e-11,ITPR2,0.019707792
7.545961,-0.23811673,4.4896489849018173e-14,3.530725663907056e-11,SIK3,0.01256231
7.5359454,1.1171894,4.848097611779307e-14,3.6605777954093766e-11,MED13L,0.012345088
7.5350404,0.10782944,4.881830015898124e-14,3.6605777954093766e-11,PHACTR1,0.005515247
7.4551253,0.9134055,8.978254091241311e-14,6.293170579649861e-11,PKP4,0.012393685
7.4343824,0.1797824,1.050575847469519e-13,7.057024385408271e-11,OXR1,0.011077247
7.3870983,0.119807445,1.5006765785517417e-13,9.874758147396696e-11,SMYD3,0.0060818833
7.080627,0.140828,1.43503901057527e-12,8.89806977268816e-10,TMEM178B,0.008565229
6.987601,0.2773085,2.796268371112383e-12,1.6392742016323011e-09,SHISA9,0.017031979
6.891781,0.37089974,5.5098122419181364e-12,3.0629806226925254e-09,MAP3K13,0.016268127
6.8438144,0.61344045,7.71118235054282e-12,4.143860875475869e-09,MUC20,0.025598694
6.817424,0.17776069,9.268759504945873e-12,4.89922315931098e-09,HCN1,0.012796718
6.7976093,0.5249695,1.0636926840361751e-11,5.4439116208537135e-09,LINC01250,0.02286016
6.7815228,0.4831921,1.1891573714196792e-11,5.990937676044487e-09,ITPR1,0.01849293
6.7199454,0.32808435,1.8179266820323827e-11,8.74856865802539e-09,MGAT4C,0.018763384
6.6281943,0.14582962,3.398177240794522e-11,1.5652489824991112e-08,UNC79,0.0080115395
6.579334,0.49080285,4.7256152257527525e-11,2.1162223850548054e-08,HIVEP1,0.018258767
6.5707173,0.9109404,5.007339864035395e-11,2.2116665648779898e-08,SPRED2,0.017677527
6.5571833,0.42130443,5.483352479406233e-11,2.3891855945066916e-08,ARID5B,0.015175454
6.5436735,0.16126777,6.002582905910397e-11,2.580550408470252e-08,DGKI,0.00873191
6.5383506,0.39065316,6.220090194165106e-11,2.6388732648745462e-08,BTBD9,0.010282572
6.479567,0.20109604,9.198622777029605e-11,3.802451207689302e-08,MCTP1,0.012545432
6.45629,0.32378393,1.0730093243505837e-10,4.324629955629483e-08,TANC2,0.010317578
6.3963475,,1.5913765252745823e-10,6.182018470413055e-08,C5orf17,0.046349518
6.3895197,0.38765836,1.6640766275806254e-10,6.38747889322406e-08,SAMD4A,0.011832422
6.3663564,0.4055225,1.935713878471417e-10,7.3427320686534e-08,SLC8A1,0.017938621
6.298025,0.14453122,3.0146138718150604e-10,1.1302348263829416e-07,RYR2,0.008170076
6.2960095,-0.1335281,3.054057484712769e-10,1.131861787121768e-07,ZSWIM6,0.017118657
6.2813854,0.81307817,3.3556869696824007e-10,1.229516079130337e-07,CLMP,0.04501337
6.244233,0.1072948,4.258837512596285e-10,1.5428954822319328e-07,LSAMP,0.0043526716
6.2230434,0.36781645,4.876018775416576e-10,1.7468608152861853e-07,TMEM117,0.013408213
6.2153215,0.22415014,5.121963491796397e-10,1.7950811833259916e-07,FARP1,0.011605023
6.187246,0.4256844,6.122446185695441e-10,2.122645509305141e-07,LMO7,0.016216088
6.1471014,0.08572241,7.891158518776229e-10,2.6503606679260623e-07,ERC2,0.0053080986
6.1241975,0.5434007,9.114173971703209e-10,2.998656238465577e-07,NF1,0.012018169
6.1204357,0.20153528,9.331977435735471e-10,3.008909484604188e-07,CHD5,0.0140906405
6.1097274,0.25405633,9.98016116777724e-10,3.186042935966748e-07,ZNF385B,0.016918607
6.0730433,0.58312446,1.2550870011622747e-09,3.928909726065556e-07,FAM66D,0.019001368
6.053327,0.2187951,1.418845461929668e-09,4.356936593237932e-07,AKAP6,0.006906432
6.0456076,0.2635799,1.4884801672149786e-09,4.527647738821939e-07,SHC3,0.01373192
5.9973154,0.39896423,2.006061163327027e-09,5.827155863887687e-07,EIF4G3,0.008226338
5.9863715,0.14316584,2.1457411887442168e-09,6.177244031132123e-07,DLGAP2,0.009754482
5.980607,,2.2230761216242877e-09,6.343242777834682e-07,WARS2-AS1,0.018173346
5.965668,0.5571095,2.436346979770024e-09,6.89080137444955e-07,STAG1,0.008685412
5.9563065,2.175798,2.580026983627459e-09,7.233722611573928e-07,ARHGAP42,0.021627791
5.9240375,0.33230165,3.141319048195997e-09,8.656884621451584e-07,DCC,0.015084064
5.917331,0.43301415,3.2720718858118073e-09,8.940797780866958e-07,SIPA1L2,0.017946435
5.909027,0.19947346,3.441335961185357e-09,9.32428532743693e-07,PRICKLE2,0.011547187
5.9013796,0.8313778,3.6047479448257327e-09,9.605610577274059e-07,SRRM2,0.009386993
5.845752,0.21391676,5.042860337092488e-09,1.3007755667909846e-06,FSTL5,0.014617656
5.812401,0.37182835,6.158315908154979e-09,1.5512701548956325e-06,PHTF1,0.019244913
5.7998643,-0.47588378,6.636863594128051e-09,1.6460953297343906e-06,KIAA0930,0.014656814
5.792322,0.26067582,6.9419826405275615e-09,1.6904553208002368e-06,EFNA5,0.012805412
5.7915735,0.23627874,6.973003680378112e-09,1.6904553208002368e-06,CDR2,0.013084262
5.7730556,0.378017,7.784675353191446e-09,1.8731439359175507e-06,GPI,0.009979439
5.759773,0.09395848,8.422716364040096e-09,1.9968650273951826e-06,KCNC2,0.006886235
5.7571115,0.15266739,8.55653237410123e-09,2.0137830170667587e-06,HDAC9,0.00820975
5.6852937,-0.37331834,1.3058790437358635e-08,2.965173099096863e-06,CACNA2D1,0.017455466
5.678577,0.5521368,1.3581976165876658e-08,3.0624031994151126e-06,SGO1-AS1,0.024423113
5.666448,-0.26750118,1.4578810866447232e-08,3.24182481908178e-06,TCF12,0.011826793
5.6621437,0.13799506,1.4949343285208253e-08,3.3014498324997924e-06,SLC35F1,0.008497355
5.653496,0.38895172,1.572168012322113e-08,3.4483954572314207e-06,DPP10,0.015122357
5.634806,0.3003943,1.7525541146165455e-08,3.8180812376744105e-06,KCNB2,0.019362174
5.625412,0.32600737,1.8506549098799683e-08,4.004742701963746e-06,CATSPER2,0.014000032
5.616444,2.017041,1.9492708801905375e-08,4.190022732665567e-06,SIK2,0.012098499
5.585027,2.186333,2.336635110270483e-08,4.924191232709228e-06,DNAJC1,0.013116302
5.583292,1.9096663,2.3600813006125405e-08,4.941305284133127e-06,ZFAND3,0.006956239
5.5632873,0.1433967,2.6473955202211224e-08,5.471793189646772e-06,KCTD16,0.009256957
5.552441,0.3160553,2.8170772352541368e-08,5.784324518780067e-06,TSPAN5,0.007405452
5.5481715,0.82711107,2.886728905172897e-08,5.853886798081114e-06,PRKCA,0.010822248
5.544116,0.32848522,2.9544305377495447e-08,5.95373148929116e-06,HOMER1,0.016241258
5.5308332,,3.187131121756484e-08,6.351793040352417e-06,NPAS3,0.00980419
5.529521,0.18858545,3.2110605885849455e-08,6.351793040352417e-06,GRM5,0.0119044045
5.496207,-0.7846513,3.880460282184971e-08,7.5372096914753025e-06,BCL2,0.012433754
5.4762397,0.20711598,4.3445876662271005e-08,8.388176055219186e-06,FLRT2,0.010246712
5.4663486,0.48377338,4.594004080715091e-08,8.71320432791157e-06,ANKRD55,0.029828602
5.447188,0.2308715,5.117240684780531e-08,9.592743686010386e-06,MAGI2,0.004621503
5.441905,0.31713432,5.271379633902899e-08,9.824571880689664e-06,PRR16,0.020671755
5.429289,0.7804259,5.6579008111508846e-08,1.042443976308217e-05,TUBA1B,0.020104377
5.411382,0.9896038,6.254014637647485e-08,1.1392553331167675e-05,RALGAPA1,0.010559691
5.4017634,0.13520591,6.598894561514955e-08,1.1953267266681274e-05,LRFN5,0.008584377
5.39165,0.74024326,6.98136510180862e-08,1.2575427652380746e-05,GPC6,0.019641288
5.3708863,-3.3533685,7.835068080187532e-08,1.3957243099971635e-05,RAPGEF6,0.011074858
5.359484,,8.345981428626604e-08,1.4785685670505913e-05,EGR1,0.05749519
5.354088,-0.27165863,8.598914014737444e-08,1.506819481397714e-05,TRPS1,0.0145240165
5.3402176,0.11435116,9.283498204846893e-08,1.576651544758082e-05,INPP4B,0.007427353
5.340075,0.22392964,9.29081640988852e-08,1.576651544758082e-05,NYAP2,0.015413691
5.337935,0.25344402,9.401124833365167e-08,1.587018157079545e-05,CCDC85A,0.016636416
5.326329,0.19116592,1.0021733811999083e-07,1.6742526595869764e-05,PDE4D,0.008289265
5.2863836,0.22256514,1.247581570380607e-07,2.0531364502093568e-05,FOCAD,0.010533399
5.267691,0.053833537,1.38150347163797e-07,2.2611074333006632e-05,PLCB1,0.0034106807
5.259744,0.20652686,1.442559145891263e-07,2.3373082683905524e-05,FAM153CP,0.0130834095
5.24502,0.4493635,1.5626551151940415e-07,2.519234443960074e-05,RNF213-AS1,0.01768993
5.2322106,-1.1950921,1.6749464187433893e-07,2.673529573244708e-05,BRINP3,0.017464472
5.2263007,0.16167447,1.7293487370283265e-07,2.734906515494553e-05,RASAL2,0.008802167
5.195376,,2.0430653330832595e-07,3.136883596885883e-05,WASHC1,0.017745312
5.1866384,-0.07596384,2.1412420863789086e-07,3.247490392338713e-05,PTPRK,0.017279085
5.1862836,0.17855649,2.1453197703940265e-07,3.247490392338713e-05,PTPRM,0.00966548
