scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
22.750574,0.85047644,1.4163246353558375e-114,4.5666555217778265e-110,AL008633.1,0.060417064
19.069708,0.50128615,4.508147398626071e-81,4.845206552463347e-77,TMEM132D,0.03425055
18.26244,0.14608085,1.6476377481487823e-74,1.3281195978390296e-70,KALRN,0.009562804
18.092648,0.44713482,3.6416219667680825e-73,2.3483363414900655e-69,RALYL,0.031013254
17.777517,1.3766634,1.0555096454485815e-70,5.672132916366436e-67,PRKCB,0.07661811
17.49837,0.22788739,1.4742809813871909e-68,6.7907488118381704e-65,MAPK10,0.011158312
17.238527,0.35438934,1.3647050928631078e-66,4.4002186309185184e-63,CACNA2D3,0.022686977
17.11345,0.86968344,1.1781295100101972e-65,2.922033060866061e-62,ITPR1,0.053828463
16.836578,1.2855911,1.3162919303408115e-63,3.031514336427056e-60,RCAN2,0.056211185
16.816074,0.6018936,1.8608649031077254e-63,3.9999911380601593e-60,GRIA4,0.03346535
16.699675,,1.317806918710313e-62,2.499414616469213e-59,MALAT1,0.056209695
16.629936,0.15623996,4.2304668108336754e-62,7.5779411878727885e-59,STXBP5L,0.010852631
16.610476,2.212908,5.852789293177985e-62,9.93218343052304e-59,TESPA1,0.14271179
16.542736,1.6897557,1.8062890802187682e-61,2.912008940674687e-58,SATB2,0.10958424
16.389015,0.86718935,2.291298680139315e-60,3.358106515624179e-57,GALNTL6,0.058154278
16.28225,1.398751,1.3192947977105238e-59,1.849479224460018e-56,FAM106A,0.07032653
16.061954,0.42394808,4.714643238558515e-58,5.8467016131093156e-55,KHDRBS2,0.029217625
15.90105,0.30115,6.231208492135601e-57,7.44121686710845e-54,RIMS2,0.020487797
15.888858,0.42949998,7.569381882981965e-57,8.716413573320981e-54,LRRTM4,0.027851509
15.205606,0.30753928,3.2461051253790504e-52,3.07835786934108e-49,KCTD16,0.02131212
15.13218,0.31043798,9.934831664855384e-52,9.078558908286373e-49,NAV3,0.016950903
15.130858,2.462304,1.013640544298947e-51,9.078558908286373e-49,VWA3A,0.121276125
14.888441,0.39160943,3.917962153634328e-50,3.158171342990791e-47,OPCML,0.025852954
14.840494,0.940901,8.016381731598171e-50,6.304199906632191e-47,NKAIN2,0.03379181
14.816112,1.6160964,1.1526737083333415e-49,8.84896628042665e-47,CUX2,0.10602133
14.714111,0.71168673,5.232926552219092e-49,3.923843042400004e-46,CABP1,0.051106855
14.622755,0.3156976,2.010961926090766e-48,1.473623758703286e-45,KCNIP4,0.021400237
14.547137,0.18435812,6.089859112410534e-48,4.363451719143396e-45,PLEKHA5,0.011353189
14.25326,0.38531643,4.278375209244974e-46,2.8739094139934518e-43,PDE4D,0.02093197
14.196564,2.2689734,9.621600063816178e-46,6.331209201176021e-43,SPARCL1,0.06860642
14.070007,1.2023287,5.806341684515655e-45,3.7442774986767653e-42,SH3GL3,0.03002889
13.994634,2.0251582,1.6809413983178573e-44,1.0627175197247583e-41,LINC01378,0.12190988
13.928338,0.17073442,4.2615804040619175e-44,2.6424257109263155e-41,R3HDM1,0.010372731
13.850842,,1.257291832175858e-43,7.64884161223513e-41,KIF13A,0.053423475
13.694929,1.3079859,1.0886626761100225e-42,6.2681697617527596e-40,CBLN2,0.09354635
13.570391,0.45937446,6.000171520444913e-42,3.335578109201816e-39,ASIC2,0.031428788
13.4104595,1.8626014,5.251214343068713e-41,2.8697441366705846e-38,MCHR2,0.12914951
13.39886,0.65294355,6.139905140478609e-41,3.2994826907408633e-38,AC011287.1,0.047896393
13.392791,0.3080422,6.66296278034029e-41,3.5218673594510156e-38,CHRM3,0.022357484
13.299382,0.45208064,2.3339013410605302e-40,1.2137416280615272e-37,MCTP1,0.030503139
13.0487385,1.0482031,6.460837273364115e-39,3.204873480078141e-36,LMO4,0.059557363
12.910008,0.22685426,3.952593583570883e-38,1.8741687487511176e-35,MSRA,0.013634475
12.886477,1.0662074,5.363817946748202e-38,2.5064577109710476e-35,ADCY2,0.046763323
12.789886,0.57522404,1.8674650636668317e-37,8.601810863972808e-35,VSNL1,0.04149673
12.767852,0.35134348,2.479024520178411e-37,1.12579137470581e-34,KCNQ5,0.025098154
12.699677,0.65452343,5.937361276616198e-37,2.6482090346793013e-34,PPM1L,0.03585205
