scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
58.67542,2.0388725,0.0,0.0,SELENOP,0.089409746
50.913704,,0.0,0.0,ADARB2,0.07127871
50.027386,,0.0,0.0,SLC38A2,0.07938761
48.91726,,0.0,0.0,MALAT1,0.047110263
48.151825,2.678364,0.0,0.0,KNOP1,0.075888604
46.177,2.8361037,0.0,0.0,CA2,0.07895978
45.982357,2.3190124,0.0,0.0,CRYAB,0.07646643
44.847633,,0.0,0.0,CDKL1,0.07401436
43.102776,1.8311571,0.0,0.0,TRIM59,0.07504019
40.581257,,0.0,0.0,MT-ND3,0.06482317
40.574284,,0.0,0.0,DPP6,0.059850585
40.28894,,0.0,0.0,FTL,0.062424667
39.52422,2.046812,0.0,0.0,SUN2,0.06459345
38.37061,4.7270093,0.0,0.0,HSP90AA1,0.06765411
38.238934,3.3194754,0.0,0.0,CAMK2N1,0.062269513
38.061592,3.1338503,0.0,0.0,HSPA1A,0.06954745
38.055138,,0.0,0.0,BBS9,0.063427836
37.95191,4.836089,0.0,0.0,FAM53B,0.061442394
37.857304,,0.0,0.0,ANAPC16,0.06153798
37.82587,,0.0,0.0,HP1BP3,0.06554203
37.808983,1.8055539,0.0,0.0,ATP1B1,0.05966281
37.640892,2.3380415,4.61066214133256e-310,6.194232475957739e-307,GPRC5B,0.06093534
37.588097,1.841753,3.364045848042438e-309,4.338677211137292e-306,LSS,0.0649113
37.56731,,7.35053309628902e-309,9.115509177832569e-306,MAPT,0.067218184
37.32589,,6.241715423252536e-305,7.453764088590056e-302,PTGES3,0.059748285
37.100204,1.5478829,2.7881559064326167e-301,3.2106611032538164e-298,PLAAT3,0.062057998
37.002823,1.9320321,1.0314041543619038e-299,1.1467435913479608e-296,OTUD7A,0.05579611
36.98387,1.3945653,2.0804466933904423e-299,2.2359947578329343e-296,SPP1,0.05756047
36.873695,,1.2201765900622044e-297,1.2691017352701825e-294,PEAK1,0.0609515
36.840244,,4.1905469269057304e-297,4.2223688926319205e-294,MT-CYB,0.058307398
36.761948,-1.7962319,7.491329994812992e-296,7.319483424931978e-293,PRKCE,0.05717223
