scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
52.070377,0.7285275,0.0,0.0,PEX5L,0.03289911
35.883587,1.6454079,5.508415114026746e-282,5.920260950718813e-278,CNTNAP4,0.05135052
35.505093,0.23472953,4.102051490455003e-276,3.306561155168516e-272,SLC44A1,0.01153951
34.15561,3.0446653,1.103903651706342e-255,5.93219424032793e-252,CPQ,0.05397575
33.91822,0.2594334,3.5895106444699426e-252,1.653379881566348e-248,SLC24A2,0.013171178
32.392414,0.31762934,3.510014488110946e-230,1.4146674642520154e-226,TTLL7,0.0153934425
32.155514,2.146988,7.39575841135296e-227,2.6495715384139275e-223,CA2,0.068697765
31.892675,,3.3735600390664686e-223,1.0877369633962014e-219,GRIA4,0.05535493
31.771036,0.83829856,1.6267401188827616e-221,4.76827105937608e-218,QDPR,0.038416352
31.670628,0.95657676,3.9441506049908696e-220,1.0597603996393384e-216,FMNL2,0.026623568
31.609362,1.6508579,2.745650446820677e-219,6.809846719756853e-216,AC009063.2,0.06091391
31.22701,-1.1792443,4.5814109218471714e-214,1.0289580506637645e-210,GRID2,0.0553354
30.902304,,1.1123292468197703e-209,2.241551994075616e-206,BBS9,0.056310426
29.93039,0.71994996,7.919842104118544e-197,1.4186637164616343e-193,CADM2,0.017467191
29.367437,,1.4312850853457402e-189,2.4288907898317213e-186,ADARB2,0.049497116
29.285316,,1.5953299135261964e-188,2.5719111200912574e-185,SLC38A2,0.05868113
28.953196,0.38712764,2.557955735728105e-184,3.927436513670538e-181,SPOCK3,0.018023208
28.946775,,3.0810994912734866e-184,4.515631404415047e-181,LDLRAD3,0.057201322
28.865349,0.34124205,3.252049499291811e-183,4.558949217637646e-180,MAN2A1,0.01589532
28.74888,1.1808457,9.354426277040778e-182,1.256728193544274e-178,AK5,0.04131508
28.283237,1.3780218,5.556218928599802e-176,7.165966676593736e-173,ST6GALNAC3,0.03903148
28.248238,,1.4961034363085034e-175,1.8553408883421182e-172,MT-ND3,0.054842092
27.904907,1.6852494,2.32625026508893e-171,2.77797360360231e-168,CDH20,0.034573644
27.640755,0.39219403,3.604782882664145e-168,4.151036231633573e-165,PHLPP1,0.017308313
27.172098,-1.9615046,1.3881579073762425e-162,1.4919458469177396e-159,MAML2,0.04885418
26.035065,1.4521141,1.9861496682507954e-149,2.0012319922940748e-146,SELENOP,0.04946504
25.475859,0.25519598,3.6507133025000623e-143,3.462057323897339e-140,DLG2,0.008230784
25.27727,0.8397925,5.680773125653365e-141,5.2332905111554704e-138,HIP1,0.034338553
24.844929,0.32759735,2.933756564761435e-136,2.556570619394674e-133,C10orf90,0.016840246
24.841957,0.7605307,3.1588265183509154e-136,2.680264300820752e-133,CNDP1,0.03755131
24.423817,3.9722342,9.552492545258886e-132,7.700025428419555e-129,PDE1A,0.04203288
24.27183,1.2953756,3.890057668298995e-130,3.0591982780235245e-127,ARFGEF3,0.03732173
24.13684,0.18999223,1.0264563217862548e-128,7.880007424608146e-126,RNF220,0.010371706
24.033733,,1.2351422201413645e-127,9.261555954422794e-125,PEAK1,0.044427805
23.881992,0.88535124,4.712735337642e-126,3.376727233146467e-123,SORT1,0.030790038
23.871344,-0.8624279,6.079869303024672e-126,4.26159186820488e-123,ITPR2,0.044027343
23.826197,1.7607527,1.787798369573208e-125,1.226467719790403e-122,FAM53B,0.044798315
