scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
10.006191,,1.4315864041784672e-23,4.615864042992632e-19,DLC1,0.13666764
9.1465025,3.461713,5.880643100433893e-20,8.327540660838314e-16,EBF1,0.24090733
9.11665,,7.748231238568043e-20,8.327540660838314e-16,PTPRK,0.115901075
8.584061,2.6055086,9.158139990529119e-18,5.905718154292607e-14,PTEN,0.101973906
8.387912,2.8412805,4.9485485982107635e-17,2.659267540868494e-13,PRKG1,0.11550886
8.156049,10.470555,3.461638741920884e-16,1.3951702244469382e-12,CACNA1C,0.10305084
7.803309,3.5340815,6.03047237019208e-15,2.1604502292455912e-11,PDE7B,0.11023175
7.532069,3.0845578,4.994241317641826e-14,1.4639029345884128e-10,SOX5,0.08257951
7.282258,3.766889,3.2827850381106194e-13,8.142064460292361e-10,GRM8,0.18029982
6.8793364,-3.6945124,6.013200300083539e-12,1.292557448503957e-08,GRM3,0.09878052
6.866516,2.5707688,6.578871475545045e-12,1.325765956162493e-08,COBLL1,0.18011965
6.8289714,1.2999666,8.55257277915882e-12,1.6221212006965756e-08,LHFPL6,0.07743495
6.7905107,-0.7176956,1.117374247969195e-11,2.001527659848375e-08,ADGRL3,0.100041166
6.716153,,1.8658465136884468e-11,3.166341533729294e-08,MGLL,0.09933432
6.670733,3.3266819,2.545290420576091e-11,4.103389951531745e-08,SLC38A11,0.20830269
6.5906982,4.5199704,4.377633881548126e-11,6.415820420125284e-08,GJC1,0.32184333
6.5073667,,7.647964081962723e-11,1.0274721078946837e-07,SGIP1,0.097221844
6.478246,,9.279478920762443e-11,1.1507624570851672e-07,GPC5,0.08622452
6.459932,2.7465124,1.047502550623298e-10,1.250912027398037e-07,PCBP3,0.1311412
6.4225698,1.9294894,1.33992712755556e-10,1.5429739419204973e-07,SPARCL1,0.077480584
6.4073687,2.0579674,1.4805245209282865e-10,1.646088004423819e-07,PDGFRB,0.13463971
6.357919,1.3321743,2.0450488837315366e-10,2.1979503719385312e-07,ZEB1,0.07134992
6.300411,1.2547895,2.9685670732446644e-10,2.900469943715991e-07,EPS8,0.07743723
6.287774,2.3366413,3.220496756524664e-10,3.0540728506066104e-07,SLC19A1,0.16982272
6.2756867,6.3309774,3.48094623918792e-10,3.206747131146746e-07,PDE8B,0.0896126
6.124408,1.3396205,9.102144037267953e-10,7.723169215621858e-07,TNS1,0.074000634
6.07679,0.90083915,1.226122368780729e-09,1.0136888086306935e-06,UTRN,0.06017295
6.0152526,,1.7960619944247124e-09,1.4124494362496587e-06,CPM,0.0993926
5.88412,,4.001771036837043e-09,3.0006768265287624e-06,KALRN,0.06949369
5.88412,1.9847751,4.001771036837043e-09,3.0006768265287624e-06,BSG,0.104430154
5.8344874,3.2233279,5.3956145919634485e-09,3.866017806415055e-06,SLC12A7,0.22362275
5.7965765,2.0936124,6.768241377467207e-09,4.744095798558155e-06,CYTH3,0.09902477
5.72808,2.7788985,1.0157390848265825e-08,6.8230156900132295e-06,SLC6A12,0.20146947
5.7031717,2.1963325,1.1759840567161419e-08,7.738215089938483e-06,RNF152,0.14750555
5.6995087,2.1293669,1.2015312693864878e-08,7.748194543765706e-06,ECE1,0.08168725
5.689436,2.715371,1.2745983178733952e-08,8.058210502586644e-06,RGS5,0.17140803
5.6425505,,1.6754952927750652e-08,9.843288107238513e-06,FRY,0.07643675
5.6421843,,1.6790647455203243e-08,9.843288107238513e-06,PDE8A,0.06226457
5.618375,1.2578107,1.9276172904702357e-08,1.0968582708318318e-05,CALD1,0.056469366
5.617093,,1.941968914614183e-08,1.0968582708318318e-05,SLC12A2,0.07378479
5.614346,1.2411157,1.9730725958578992e-08,1.0968582708318318e-05,PTPRG,0.07061299
5.5824785,3.1249232,2.3711507764260927e-08,1.2877081877753837e-05,CDH6,0.16008376
5.580647,2.1574044,2.3962562809454152e-08,1.2877081877753837e-05,RHOJ,0.1207726
5.518011,1.8769844,3.428580937498047e-08,1.7547259550436434e-05,MYO1B,0.13441253
5.4943852,-3.3470604,3.9207412856723084e-08,1.975257207405191e-05,DAAM2,0.06961153
5.490356,,4.011247104466427e-08,1.9897636982970923e-05,DLEU2,0.07518109
5.444203,0.63534385,5.203783896803722e-08,2.5422061240097332e-05,RBMS3,0.04235223
5.3822994,1.5399201,7.354021801634216e-08,3.404647553807734e-05,PDZD2,0.056028064
5.381384,1.8909106,7.391537039560257e-08,3.404647553807734e-05,CASC15,0.102674976
5.3711276,3.49258,7.824576750471022e-08,3.5533496924709464e-05,LZTS1,0.17342249
5.3654504,,8.074756622541989e-08,3.616033024730852e-05,DENND2A,0.0793129
5.351531,1.3969964,8.721315869444382e-08,3.749351834379936e-05,ARHGAP29,0.100205794
5.3158174,1.0681826,1.0617948979586115e-07,4.389160627548655e-05,COLEC12,0.07501505
