scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
16.522137,0.19988441,2.542324285485078e-61,1.366202698948256e-57,VCAN,0.014680137
14.443274,0.11859733,2.76398196199708e-47,9.902118933407984e-44,PCDH15,0.008709345
13.960676,0.2269046,2.708531825184732e-44,7.939199239948302e-41,KAZN,0.012208327
13.393675,0.38963675,6.584030774423513e-41,1.4152593617315821e-37,GRIA4,0.021491569
12.569798,0.40205175,3.095137269662909e-36,4.9898255492870585e-33,AC009041.2,0.018964875
12.404809,0.13221864,2.4609753617751346e-35,3.1739691435886267e-32,KCNIP4,0.008593096
12.265508,0.48861462,1.3873999237148827e-34,1.671771862096749e-31,NCKAP5,0.01239897
12.26478,0.15135641,1.3999268143973026e-34,1.671771862096749e-31,KCNMB2,0.010998396
12.11168,0.24575768,9.159864347373307e-34,1.0184189867322674e-30,PEAK1,0.01109346
12.092395,0.9506004,1.1585942085388126e-33,1.2050500989005463e-30,FERMT1,0.06893339
11.067702,0.29265812,1.7995514918363116e-28,1.2893986389172933e-25,SOX2-OT,0.012892004
10.863203,0.12734792,1.7258812578043687e-27,1.1356650897017604e-24,REV3L,0.006445763
10.62839,2.6887007,2.198752464691968e-26,1.31285880961228e-23,MT-CO2,0.02439741
10.432832,1.2746799,1.7557716751155628e-25,9.130862277540499e-23,RFTN2,0.028432881
10.353666,0.06526079,4.0275919524097687e-25,2.0290882393991901e-22,NRXN1,0.0040506907
10.325743,0.33223638,5.390024140316804e-25,2.633190126609617e-22,SEZ6L,0.023703262
10.179018,0.11725316,2.4603215845837063e-24,1.1665904242901831e-21,ADARB2,0.007450451
10.128026,0.09146177,4.149414755861424e-24,1.9112797139034272e-21,CNTN1,0.005492803
10.086091,0.14299324,6.365424862637767e-24,2.8907097724792894e-21,TAOK3,0.0063568996
10.058459,0.14288977,8.430722770188693e-24,3.775441587211028e-21,ARPP21,0.008714986
9.949053,0.099414475,2.5459406935840416e-23,1.0945168771097367e-20,DCC,0.0069545275
9.896348,0.088033006,4.3175542155076365e-23,1.784755135520676e-20,DSCAM,0.0062661464
9.845045,0.1489524,7.200689583248377e-23,2.8663189411441657e-20,FGF12,0.009936739
9.571316,0.32176012,1.0555327639900086e-21,3.911901483831017e-19,LRRN1,0.021588314
9.380703,0.052643083,6.5534329658505285e-21,2.2967645556295496e-18,OPCML,0.003703532
9.194015,0.32556814,3.7844842159128795e-20,1.245133924221214e-17,ATP10B,0.015178858
9.1218195,0.47290885,7.387344622527514e-20,2.3819015266415464e-17,ALK,0.030417262
9.011694,0.36713547,2.028977751281017e-19,6.290416311014792e-17,CDH20,0.013322674
8.88658,0.12199642,6.301823039569707e-19,1.8641255070169364e-16,CADM2,0.0037627127
8.774306,0.23425698,1.7196022494370857e-18,4.995057236810807e-16,LINC01322,0.016291253
8.722764,0.07723169,2.7149111225044696e-18,7.603321023114465e-16,DPP6,0.004736015
8.56566,,1.074583373296536e-17,2.7941767504193716e-15,MT-CYB,0.024568189
8.542362,,1.3150586206602051e-17,3.2899659321026614e-15,MT-CO3,0.020744823
8.50174,0.18902174,1.8676865403304623e-17,4.562107357566295e-15,PTPRD,0.0028634192
8.397191,0.07129132,4.5728546947840743e-17,1.1003175665964396e-14,CTNND2,0.0026816393
8.339158,0.3264223,7.482117680225371e-17,1.7355821608885372e-14,PDE7B,0.017366769
8.298102,-0.55893075,1.0578775784136553e-16,2.4190884227511692e-14,PPP2R2B,0.01413441
8.278284,0.539996,1.2496262084679153e-16,2.817601247526643e-14,C10orf90,0.011653645
