scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
21.458813,1.106733,3.778302414396727e-102,9.36252645832073e-98,ADCY8,0.073385365
21.438814,0.68893677,5.807478496616773e-102,9.36252645832073e-98,AC012405.1,0.050437234
20.16736,0.9629169,1.8948792090348902e-90,2.036553011230399e-86,DPP6,0.040864766
19.950111,0.87001055,1.4955603264838954e-88,1.205533790170506e-84,CTNNA2,0.038891368
19.595768,1.625181,1.680323403833568e-85,1.0835733501961145e-81,RANBP3L,0.084321
19.49293,1.6257442,1.2605591190313933e-84,6.774034612488202e-81,COL5A3,0.092178375
19.252172,0.59922177,1.353662660564387e-82,6.235163594939648e-79,CNTN1,0.033485346
18.128336,1.5649766,1.9043601761428567e-73,7.675285644921766e-70,SERPINI2,0.10999783
18.003391,1.3300341,1.832495526156121e-72,6.565017027761312e-69,PDE4DIP,0.054285016
17.766645,1.1323858,1.2812829676925818e-70,4.131240672731191e-67,ADAMTS9-AS2,0.072386645
17.723389,3.5327337,2.7673264811288948e-70,8.111537066458087e-67,ADAMTSL3,0.076794565
17.707638,0.41434684,3.6612183424205423e-70,9.837388584555463e-67,NEBL,0.025345404
17.694082,1.4888535,4.657517940101614e-70,1.1551719303284335e-66,SPARC,0.09681293
17.632181,,1.3948291196009384e-69,3.2123910930923615e-66,STXBP5L,0.06032965
17.558104,1.4455371,5.156869499342712e-69,1.039205895420669e-65,LINC01094,0.09648965
17.10079,1.1526852,1.464069262831744e-65,2.4845255390254696e-62,WWOX,0.035061676
17.080185,1.0861288,2.0845686392781547e-65,3.3606373318122768e-62,WDR49,0.0781078
17.011822,0.7474908,6.711707955988555e-65,1.0012779808581085e-61,CDH20,0.032564882
17.010782,2.003959,6.831906329708273e-65,1.0012779808581085e-61,LINC00836,0.14546281
16.849045,1.6813188,1.0662369781962819e-63,1.4947251690427268e-60,SNED1,0.08024469
16.817177,1.677664,1.8265528197890245e-63,2.4538976070190632e-60,COL21A1,0.10069009
16.698946,0.8227817,1.3340164650320925e-62,1.7205077152811902e-59,TRPS1,0.03815425
16.491919,1.2083707,4.194169469938638e-61,5.201254085355058e-58,MIR4300HG,0.07387792
16.451736,2.1405556,8.149704904995466e-61,9.732256861176621e-58,TJP2,0.06536239
16.31616,0.54209554,7.575312686075565e-60,8.723243104897659e-57,MAPK10,0.026339386
16.298792,3.7841985,1.0066278000530532e-59,1.1191965571417446e-56,SLC38A1,0.07304551
16.25865,0.96768403,1.9396455287789578e-59,2.0846663594806644e-56,ZBTB20,0.025554089
16.138607,0.6607998,1.3658909869538427e-58,1.420658809430734e-55,PLEKHA5,0.03786814
16.050564,-0.93512195,5.6647613981873764e-58,5.707778180054862e-55,SLCO3A1,0.05800461
16.04852,0.9869062,5.8543801680419585e-58,5.720084235096268e-55,DPP10,0.04922389
15.696168,2.2952428,1.6065891837604696e-55,1.5235663250584948e-52,SMYD3,0.049731415
15.641781,2.3296013,3.780050694670007e-55,3.48229070137843e-52,DPH6-DT,0.058634233
15.630884,,4.4853258542319876e-55,4.017232264388944e-52,CRYAB,0.06296577
15.6056185,0.6688678,6.66605224116091e-55,5.80901411923652e-52,MIR99AHG,0.028445192
15.583456,2.680034,9.431468310992135e-55,8.002600861876827e-52,AL627316.1,0.17538509
15.348329,1.832949,3.634300395610252e-53,3.004634555273368e-50,ABI3BP,0.10355691
15.343896,8.22362,3.891227920978036e-53,3.1366215464023703e-50,C8orf34,0.0901861
15.326483,1.5180095,5.087975085098014e-53,4.0012580650930556e-50,ADRA1A,0.07351285
15.26899,0.7084016,1.2306603858106997e-52,9.447662576117712e-50,GRAMD2B,0.040645912
15.073268,1.0569121,2.4279854645928056e-51,1.7792167121560417e-48,RPS6KA2,0.040897533
14.994977,,7.919029081338212e-51,5.559120481055714e-48,HS6ST3,0.05609804
14.994877,,7.931009587462794e-51,5.559120481055714e-48,LDB2,0.059453722
14.94104,1.9665892,1.7817258132139728e-50,1.222301816924641e-47,CPAMD8,0.14339691
14.91699,0.6520704,2.555416671940662e-50,1.7165479115288075e-47,TNRC6A,0.028755259
14.850038,,6.953007998299927e-50,4.575221161003766e-47,NCAM2,0.040511806
14.697112,1.1791173,6.726821897893139e-49,4.3378583690753695e-46,COL27A1,0.07374998
14.683104,1.2185364,8.27160940845271e-49,5.229441218759623e-46,PFKP,0.06606307
14.643537,,1.4815757643797637e-48,9.186624494403215e-46,MYRIP,0.059692845
14.584605,2.3826668,3.5195385158229744e-48,2.1411411389750975e-45,CP,0.1381024
14.565807,1.7891886,4.634796791470786e-48,2.7674028323591212e-45,ST6GAL1,0.060236786
14.55544,,5.3937555527368534e-48,3.1620156415798976e-45,KNOP1,0.053112034
14.516523,1.7808911,9.521856536194824e-48,5.4823789338666016e-45,GPC6,0.061815646
14.511605,1.2926918,1.0229853683181306e-47,5.786687233452892e-45,DAAM2,0.047065984
14.498572,0.18207617,1.2369556784977608e-47,6.876407231345397e-45,NRG3,0.011446353
14.4885435,1.0268004,1.4314668455496543e-47,7.822845000179239e-45,STK32A,0.07108456
14.459905,0.99530035,2.1709868417738438e-47,1.166652145655234e-44,NPAS2,0.05714859
14.373049,1.0626825,7.639245352404008e-47,4.037904719632171e-44,AC073941.1,0.07794666
14.318783,1.7984842,1.6702224328523767e-46,8.685964822977287e-44,AL390755.1,0.11176307
14.3128,1.6536951,1.820318903207914e-46,9.316276570814727e-44,ECE1,0.06118279
14.215258,2.5658643,7.367979440555055e-46,3.711965017215885e-43,IFRD1,0.06281676
14.138929,,2.185844224447387e-45,1.0678511413463195e-42,PPP1R12B,0.05082596
14.127591,1.4874239,2.5677820199660725e-45,1.2357163532800907e-42,SLC16A9,0.08338096
14.083535,1.390472,4.794984285726481e-45,2.2735982106570432e-42,C2CD2,0.06794635
14.062963,0.3345005,6.414372546066276e-45,2.9973712174321e-42,CTNND2,0.015571416
14.004489,0.41170388,1.463287575444507e-44,6.740111613579606e-42,ABLIM1,0.026598917
13.847485,2.5210629,1.3174597175030325e-43,5.982937136823983e-41,GRIK4,0.054482434
13.755578,1.3964,4.71497119546041e-43,2.1114557813226386e-40,VCAN,0.05815064
13.681442,0.73303837,1.310674477469905e-42,5.789051668090705e-40,ARHGEF4,0.04576166
13.611469,2.4880896,3.422916309385348e-42,1.4914201427501593e-39,LINC01515,0.10456564
13.500897,0.6418893,1.5448214280175843e-41,6.553904908364602e-39,UTRN,0.04159315
13.46235,1.2705206,2.6049676435027897e-41,1.0908048276553306e-38,BCKDHB,0.048486207
13.449888,0.39501706,3.0833973504171566e-41,1.2745894970448767e-38,SOX5,0.024245044
13.447407,2.1225379,3.1886060317553424e-41,1.3013952440745254e-38,CCDC85A,0.06981292
13.431371,0.46736825,3.9601198102596577e-41,1.5960767880275267e-38,LINC01088,0.03424803
13.368075,,9.29141897390394e-41,3.698558295994873e-38,KCNJ3,0.055829696
13.301146,1.6236948,2.2794755345239296e-40,8.963064592640861e-38,NR2F1,0.070290655
13.168082,,1.3395669555481722e-39,5.141863969969014e-37,CERS6,0.05249525
13.146691,0.74579984,1.7778631716595528e-39,6.743957911037525e-37,MAML2,0.031938408
13.122858,0.8993705,2.4357235716085014e-39,9.131980827834059e-37,DOCK7,0.044911183
13.119108,1.0745524,2.5592893861820073e-39,9.484961802145571e-37,DAPK1,0.052495416
13.062758,,5.374453921175942e-39,1.9691877020508626e-36,NOVA1,0.046478253
13.006681,0.3316156,1.1210549340241578e-38,4.061367891881002e-36,ADCY2,0.022041634
12.913723,2.0639286,3.766385915138505e-38,1.3493286784645647e-35,CAB39L,0.05365316
12.86811,,6.804724823778463e-38,2.4110411262976813e-35,DLGAP1,0.042598046
12.82203,,1.2342611996431574e-37,4.325683028271122e-35,HCG17,0.050283607
12.816176,1.260909,1.3310448568231774e-37,4.614718206295668e-35,NR2F2-AS1,0.07744391
12.801948,1.2240846,1.5989095086596405e-37,5.484429711458806e-35,PLCE1,0.06783232
12.781066,3.0848181,2.0918398763355975e-37,7.099704540283018e-35,PRKAG2,0.049678244
12.735982,0.91987795,3.7312342321034852e-37,1.253189430684507e-34,SASH1,0.038512137
12.728743,1.4423404,4.093784279285208e-37,1.3607823352267314e-34,PDE3A,0.066812016
12.66195,2.049179,9.608269079870826e-37,3.161218570839541e-34,SMAD9,0.07695403
12.625085,2.1314025,1.5357609322542535e-36,4.951753973867389e-34,ZNF273,0.062352363
12.62335,1.0696876,1.569972142064368e-36,5.011941760057566e-34,FUT9,0.04057702
12.577287,4.549965,2.8153424654023433e-36,8.899518344310565e-34,KCNN2,0.062035758
12.525036,,5.44665023074184e-36,1.7050130426195063e-33,FTO,0.04936267
12.499369,6.030968,7.524652505406359e-36,2.3106416260173073e-33,OLMALINC,0.046972927
12.477455,1.1359946,9.910388175335846e-36,3.014534395635412e-33,MED12L,0.045725007
12.434439,,1.699299064371911e-35,5.120607451639582e-33,GPRC5B,0.044900846
12.419752,1.7414559,2.041930498457568e-35,6.09610787608957e-33,WNK2,0.05591788
12.378972,0.8552899,3.39664140026475e-35,1.0047514556764802e-32,SLC7A11,0.05524387
12.377162,1.894434,3.4741333222880093e-35,1.0151306708096982e-32,SPAG1,0.06955072
12.376688,-1.383132,3.4946966615971376e-35,1.0151306708096982e-32,LINC00609,0.044041354
12.3491535,3.664835,4.922677817640137e-35,1.4171598292336693e-32,MEGF9,0.04590494
12.289062,0.38754547,1.037029041401776e-34,2.9590201222935807e-32,FMN2,0.023986103
12.12377,-1.3164641,7.903784786817079e-34,2.2354537972047636e-31,ZNF704,0.044974033
12.019892,3.0726523,2.7933864101531966e-33,7.831926784571262e-31,FAM135B,0.049695194
11.984809,0.9873809,4.268286028042174e-33,1.1863995379496883e-30,NR2F1-AS1,0.044981033
11.958198,-1.0642914,5.882488647435224e-33,1.6211032603355036e-30,TBC1D5,0.0510119
11.932402,1.4670686,8.022512984521194e-33,2.1921176793213293e-30,SYNPO2,0.067609146
11.891521,1.5520124,1.3099844650272722e-32,3.549397403854986e-30,FAP,0.08743079
11.8828535,1.4367143,1.4532114975172203e-32,3.904658192870644e-30,IQCK,0.04960297
11.863353,1.2124553,1.8347873233754301e-32,4.8891774931895864e-30,GALNT15,0.06139674
11.84653,1.0551071,2.2428771589194714e-32,5.927630183200042e-30,PDZRN4,0.04929735
11.8422575,,2.3601220371454834e-32,6.186781694608278e-30,AC245297.3,0.0478924
11.838331,0.80169815,2.473249154700548e-32,6.4310461689524e-30,SLC39A11,0.034489855
11.787068,1.447305,4.551083080938686e-32,1.1707292518493342e-29,CFAP54,0.062252548
11.786627,,4.5750049850515176e-32,1.1707292518493342e-29,MALAT1,0.0461728
11.777091,0.9165786,5.123059597851358e-32,1.3006520520749713e-29,RNF19A,0.045407232
11.767066,,5.769644954366763e-32,1.4533645489347463e-29,TMEM135,0.043771762
11.751713,1.2121105,6.920180019411973e-32,1.729669491208529e-29,PLEKHA7,0.05402114
11.73279,2.5264904,8.655742239453514e-32,2.146823823282305e-29,LMNTD1,0.09423268
11.684607,-3.2793288,1.5278478047821946e-31,3.760488303022313e-29,MAML3,0.042689044
11.64801,,2.348779492370265e-31,5.694112569360485e-29,SLC5A3,0.056606956
11.627237,2.1131024,2.9963887816213134e-31,7.209892797448956e-29,HMBOX1,0.043948103
