scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
8.339975,,7.430590886853835e-17,2.9948067745603524e-13,PLCG2,0.096951716
8.173145,4.0877924,3.0045233949465117e-16,1.0763871980362264e-12,PLEKHA6,0.08130317
8.051383,,8.186364099622188e-16,2.3672787881482116e-12,PNISR,0.060840704
8.042389,-4.40485,8.810391544762751e-16,2.3672787881482116e-12,HSP90AA1,0.07374459
7.931265,,2.169246205931311e-15,4.995928958417376e-12,HSPH1,0.08966997
7.6909323,1.288369,1.460664723828441e-14,2.943513293150026e-11,FAM135B,0.06576174
7.6826153,0.8323475,1.5587330457096087e-14,2.9563664466361716e-11,CELF4,0.05530081
7.356401,1.3410777,1.889346405157445e-13,3.0459098070745744e-10,KCNJ6,0.0827208
7.0242877,0.6652826,2.151611046477028e-12,3.0162780422416874e-09,SRRM3,0.046054203
6.968871,0.8882899,3.1949461408758247e-12,4.292277017510801e-09,SRGAP3,0.04244976
6.7464304,2.549841,1.5152677354596223e-11,1.954271103776984e-08,MIR29B2CHG,0.06054339
6.619059,0.8412771,3.614928032105893e-11,4.0694362893958007e-08,CELF2,0.02987914
6.6172214,0.8459403,3.660132506047149e-11,4.0694362893958007e-08,PCBP3,0.06057522
6.4525185,,1.1000638895368097e-10,1.1441729029140438e-07,CLASP1,0.049732413
6.3637357,,1.9690476875509317e-10,1.9840001434282714e-07,ZMYND8,0.057817586
6.3357854,-1.932253,2.3613493476525643e-10,2.307181424738231e-07,LARGE1,0.06219341
6.298648,0.8375133,3.0025352612211316e-10,2.689187345209804e-07,UBASH3B,0.057707045
6.2171183,,5.063677232028237e-10,4.081703624807161e-07,MPHOSPH8,0.057071064
6.181528,-1.4419769,6.348414165270674e-10,4.992485803190789e-07,MIR181A1HG,0.05915992
6.151063,,7.696524097549702e-10,5.908548249459406e-07,ARL17B,0.06499318
6.0970006,3.964015,1.0807721066930786e-09,7.919848871842031e-07,GNAS,0.052521452
6.0926485,,1.1105783825927746e-09,7.957417508875296e-07,MIB1,0.059604064
5.9876175,0.5538443,2.1293683835398945e-09,1.4607920168186555e-06,MAP2,0.029950395
5.9262047,6.9733305,3.1001600235720784e-09,2.082467909167386e-06,GDAP1,0.05574581
5.9127617,,3.364189283306753e-09,2.213705205339993e-06,PRKCB,0.056825224
5.794771,,6.841431902670468e-09,4.411765776756078e-06,PWWP2A,0.054631807
5.7728176,,7.795688888097871e-09,4.891858987643457e-06,CHORDC1,0.06431566
5.71566,,1.0927912107164041e-08,6.291940536987325e-06,PPP2R2C,0.05515846
5.6594696,,1.518416795394406e-08,8.05767224539602e-06,LINC00486,0.047439143
5.6587925,0.3302529,1.524417724681814e-08,8.05767224539602e-06,OPCML,0.02063344
5.6182694,,1.928794030398725e-08,9.871445384467635e-06,NAV3,0.048237238
5.5980563,,2.167681216842163e-08,1.0752699303791057e-05,ARMH4,0.055310078
5.5144963,2.163554,3.497804762124209e-08,1.683279387241356e-05,SYN3,0.06498578
5.511401,,3.559878974544926e-08,1.687958496709589e-05,FXR1,0.05489789
