AA_ASAP139_PD_NP17-232_PUT_1,AA_ASAP144_PD_NP19-137_PUT_1,AA87_ASAP76_ctrl_NP18-159_PUT_1,AA84_ASAP71_PD_NP19-16_PUT_1,AA_ASAP92_ctrl_NP16-284_PUT_1,AA_ASAP100_ctrl_NP18-148_PUT_1,AA_ASAP117_PD_NP22-55_PUT_1,AA_ASAP87_PD_NP21-208_PUT_1,AA_ASAP88_PD_NP21-217_PUT_1,AA74_ASAP62_PD_NP16-140_PUT_1,AA79_ASAP64_PD_NP16-162_PUT_1,AA71_ASAP70_PD_NP18-304_PUT_1
0.0921985815602837,0.0257510729613734,0.02,0.0365853658536585,0.028169014084507,0.02,0.424083769633508,0.236276849642005,0.369565217391304,0.0347826086956522,0.0493827160493827,0
0.120567375886525,0.0171673819742489,0,0,0,0,0.18586387434555,0.0214797136038186,0.195652173913043,0.0434782608695652,0.0493827160493827,0
0.524822695035461,0.180257510729614,0.0866666666666667,0.24390243902439,0,0.04,1.11256544502618,0.587112171837709,0.75,0.417391304347826,0.111111111111111,0.148648648648649
0.347517730496454,0.0600858369098712,0,0,0,0,0.31413612565445,0.00954653937947494,0.25,0,0,0
0.631205673758865,0.957081545064378,0.52,1.54878048780488,0.0422535211267606,0.38,2.55759162303665,3.60859188544153,3.42391304347826,1.21739130434783,0.333333333333333,2.51351351351351
0.198581560283688,0.0901287553648069,0.1,0.365853658536585,0,0.08,0.651832460732984,0.443914081145585,0.326086956521739,0.269565217391304,0.037037037037037,0.216216216216216
0.382978723404255,0.145922746781116,0.0533333333333333,0.0609756097560976,0,0.09,0.56282722513089,0.517899761336515,2.1195652173913,0.182608695652174,0.0246913580246914,0.0405405405405405
0.141843971631206,0.0257510729613734,0.00666666666666667,0.024390243902439,0,0.02,0.267015706806283,0.171837708830549,0.684782608695652,0.121739130434783,0,0.121621621621622
0.113475177304965,0.00429184549356223,0,0.121951219512195,0,0,0.18586387434555,0.176610978520286,0,0.243478260869565,0,0
0.0354609929078014,0.0257510729613734,0.0133333333333333,0.158536585365854,0.028169014084507,0.02,0.0287958115183246,0.400954653937947,0.0869565217391304,0.260869565217391,0.0123456790123457,0.108108108108108
0,0,0.00666666666666667,0,0,0,0.0235602094240838,0.298329355608592,0.467391304347826,0.173913043478261,0,0.108108108108108
0.297872340425532,0.0343347639484979,0.00666666666666667,0.024390243902439,0,0.1,0.31413612565445,0.346062052505967,0.565217391304348,0.0347826086956522,0.0123456790123457,0
0,0,0,0.597560975609756,0.0563380281690141,0.03,0.384816753926702,0.369928400954654,0.956521739130435,0,0,1.13513513513514
0,0.0429184549356223,0,0.195121951219512,0,0,0,0.446300715990453,0,0.330434782608696,0.0493827160493827,0.0945945945945946
